,GO:0007264,GO:0006412,GO:0000209,GO:0007411,GO:0007605,GO:0055085,GO:0007420,GO:0008360,GO:0001666,GO:0007010,GO:0071356,GO:0070588,GO:0071277,GO:0042981,GO:0030036,GO:0051897,GO:0045766,GO:0072659,GO:0034599,GO:0018105,GO:0002181
GSM989827,-0.012944559585164939,-0.07656639205127647,-0.0029015461192472003,1.3573294555451696,-0.5491389680511816,-0.0033624886632139805,0.013001421957056891,-0.009311081058825721,-0.0035645097891148225,-0.0854835972945267,-0.021936882408013503,0.0010407298740489068,0.002348301206410497,-0.006761260243052902,0.017256794440939416,0.5284599225798416,0.0028298308149601326,-0.0018911156432608323,0.0005663316207318303,0.0033807359284168115,-0.07416395182495705
GSM989828,-0.014004530337061283,-0.11439003587028651,0.0006709515260752141,0.17494891456746586,-0.29868922946289445,-0.0043918948114622935,-0.0017468942194938109,0.0002698205211828508,0.003263893699298137,-0.039512252024721306,0.015813114103337966,-0.0008019797949430085,0.005009025896498542,0.0027359893907004107,0.001952762647690065,1.0789644030342203,0.002737636198460791,0.004825513753900168,-0.003940162081136123,-0.0005979184698929885,-0.10152531002185583
GSM989829,0.005759641123447068,0.2251289955991922,0.0005095071788900896,-1.0037394274138762,0.24112521852053703,0.004443028782077363,-0.006186283190913855,0.0035755345993493393,0.0021534647226815196,0.0751063716778333,0.00019979861858132608,-0.0007979932622106389,-0.003452808673102936,0.005108140977554854,-0.01278040097004407,-0.9534404872594848,0.0006048856796354585,0.00335865019323478,0.0063672882276080145,0.00379472147615445,0.22557888527938985
GSM989830,-0.03899738182542478,-0.004352365336629305,-0.001560883253830525,0.21443957838526728,-0.9685202796779748,-0.006672048054198854,0.003574201662075893,-0.004675486671786189,0.005977966435850135,-0.04649957662741144,0.013582113569512444,-0.0022964588341238823,0.009033093026616257,0.002470298211306954,0.0018797976507869407,1.7263134626998067,0.008856032165851957,0.013864517881884808,0.0022074283776873926,0.008747403760750672,0.0317959083042183
GSM989831,0.015683295359536942,-0.04131639192964087,0.0032881655860705905,-0.14128415083803247,0.5128703883807333,0.0007837016099472294,-0.011778017444797229,0.006125229520336006,0.0020367671923793296,-0.019934842790959806,0.008307695216871025,0.0009270498448756825,-0.002167832249384105,0.010377701938040218,-0.0012212247824265887,-0.5154034140485635,-0.0004989868406539699,-0.0022353190556572144,-0.005244637761080639,-0.006481124708983543,-0.056596503186383984
GSM989832,-0.004970551153078873,0.0460670532292653,-9.923991524374287e-05,-0.4967259344466868,-0.06939971763499386,0.0002835674158347956,-0.0010132025434330671,0.0012316775886347386,0.001593485080874757,0.03677984822553526,0.008183659501199259,-0.0010543518839796207,0.0009236162321428765,-0.00034762369011787086,-0.006621280861139667,0.1768097053283384,0.00013839218583200363,0.0033738284131317187,0.0018426494555967565,0.001929425024670195,0.0549736802014138
GSM989833,-0.000734615200741473,0.042988353495729825,-0.0019972611656839945,-1.0214286366754521,-0.004584475252983111,0.0028499005798039434,0.007115256466789788,0.0005854945755459084,-0.0026507751072983865,0.1237917419940544,0.008587172965860645,-0.0017721759593314346,-0.000397651083815731,-0.014522436936175609,-0.01373222872506119,0.18870323405353417,-0.006628982331065458,-0.0006295551032735602,0.004313503899737725,0.0019448371080272864,0.05439615231172468
GSM989834,0.013591186177180248,0.21233350110260574,-0.002866718318330186,0.5016168659540909,0.12230849607330185,0.005657864914624611,0.009332898173155968,-0.00636894957325751,-0.006481158046284463,0.009270909764751423,-0.04295126397418869,0.0019288592015271888,-0.007285619199961957,-0.005265721951161595,0.006882619763914022,-1.687477567570113,-0.0006736013623793724,-0.00719920395854956,0.008877193715193243,0.005189111413372416,0.19339027670723397
GSM989835,0.013604678897394251,-0.3473859591397854,0.0031878324492282673,0.6705320122024006,0.3952488353538399,-0.0037764213046358464,-0.005588386079494967,0.004369723827068128,-0.0009186739004860556,-0.07413726124666198,0.016841681673071207,0.0015190452950832878,0.0016442489914254566,0.0016414206795758446,0.009014334995441686,0.6903607451714038,-0.004398168981296635,-0.007633432345642177,-0.014319464241239643,-0.013536903604858708,-0.36380410817571374
GSM989836,0.008775664629808944,-0.041496414412407034,1.9740600208706383e-05,-0.457527632400911,0.2458942842624765,0.0018181641111709723,0.0012112713961016652,0.0022540786821991787,-0.002195743634544556,0.05631311873641209,0.006277483378568149,-0.000259350200721542,-0.0013602116309101575,-0.006729496274445523,-0.005952963166791392,-0.0646347401427505,-0.005502368727619,-0.00378423613369705,-0.0010235988898159576,-0.003136909181421288,-0.04476494904170636
