,GO:0007264,GO:0006412,GO:0000209,GO:0007411,GO:0007605,GO:0055085,GO:0007420,GO:0008360,GO:0001666,GO:0007010,GO:0071356,GO:0070588,GO:0071277,GO:0042981,GO:0030036,GO:0051897,GO:0045766,GO:0072659,GO:0034599,GO:0018105,GO:0002181
GSM989827,-0.0006164075992942664,-0.0036460186691087415,-0.00013816886282214114,0.06463473597834168,-0.02614947466910289,-0.00016011850777131187,0.0006191153312875564,-0.00044338481232486515,-0.00016973856138635668,-0.004070647490216128,-0.0010446134480015523,4.955856543098491e-05,0.00011182386697194957,-0.00032196477347934405,0.0008217521162352526,0.02516475821808717,0.0001347538483305044,-9.005312586962688e-05,2.6968172416097502e-05,0.00016098742516268416,-0.0035316167535692777
GSM989828,-0.0006668823970032989,-0.005447144565252415,3.195007266976191e-05,0.008330900693688914,-0.014223296641089345,-0.00020913784816389835,-8.31854390246356e-05,1.284859624695045e-05,0.00015542350949004913,-0.0018815358107011626,0.0007530054334909941,-3.818951404488402e-05,0.00023852504269061825,0.00013028520908031638,9.298869750873351e-05,0.051379257287343716,0.0001303636284970544,0.0002297863692328761,-0.00018762676576811188,-2.8472308089888543e-05,-0.0048345385724690715
GSM989829,0.0002742686249255222,0.010720428361866485,2.4262246613560023e-05,-0.04779711559113675,0.01148215326288371,0.00021157279914696403,-0.0002945849138540346,0.0001702635523499474,0.00010254593917480292,0.0035764938894207177,9.514219931006096e-06,-3.79996791526338e-05,-0.0001644194606238436,0.00024324480845461238,-0.0006085905223831567,-0.04540192796473752,2.880407998162582e-05,0.00015993572348627083,0.0003032042013146885,0.00018070102267397914,0.010741851679971326
GSM989830,-0.00185701818216355,-0.00020725549222078143,-7.43277739920778e-05,0.01021140849453639,-0.04612001331799798,-0.0003177165740089194,0.00017020007914592128,-0.00022264222246626275,0.0002846650683738794,-0.002214265553686978,0.0006467673128329743,-0.00010935518257770838,0.00043014728698143045,0.00011763324815694531,8.951417384661653e-05,0.08220540298570489,0.0004217158174206759,0.0006602151372323561,0.00010511563703285987,0.00041654303622618016,0.0015140908716295698
GSM989831,0.0007468235885488284,-0.00196744723474529,0.00015657931362200728,-0.006727816706573186,0.024422399446702325,3.7319124283730076e-05,-0.0005608579735625341,0.0002916775962069629,9.698891392284636e-05,-0.0009492782281408374,0.000395604534135785,4.4145230708725336e-05,-0.00010323010711310587,0.0004941762827632701,-5.815356106797509e-05,-0.024543019716598113,-2.3761278127309993e-05,-0.00010644376455593019,-0.00024974465528959655,-0.00030862498614192546,-0.0026950715803040204
GSM989832,-0.00023669291205141718,0.002193669201393078,-4.72571024978663e-06,-0.023653615926032323,-0.0033047484588086817,1.3503210277931998e-05,-4.824774016443101e-05,5.865131374527266e-05,7.588024194626897e-05,0.001751421344073023,0.00038969807148481195,-5.0207232570542715e-05,4.398172534036959e-05,-1.655350905371833e-05,-0.00031529908862593103,0.008419509777539691,6.590104085990589e-06,0.0001606584958624424,8.774521217169706e-05,9.187738212723673e-05,0.002617794295305842
GSM989833,-3.4981676225953606e-05,0.002047064452177061,-9.51076745563384e-05,-0.04863945888930754,-0.00021830834537883703,0.00013570955141961605,0.00033882173651278435,2.78806940738896e-05,-0.00012622738606182793,0.005894844856860093,0.000408912998373534,-8.438933139665039e-05,-1.8935765895289336e-05,-0.0006915446160089544,-0.0006539156535740887,0.008985868288263088,-0.00031566582529007903,-2.997881444288808e-05,0.00020540494760634687,9.261129085835762e-05,0.0025902929672252384
GSM989834,0.000647199341770488,0.010111119100124188,-0.00013651039611151106,0.02388651742638581,0.005824214098729907,0.0002694221387922191,0.00044442372252984086,-0.0003032833130118817,-0.0003086265736325089,0.0004414718935596973,-0.0020452982844862966,9.185043816772875e-05,-0.0003469342476170034,-0.00025074866434149357,0.00032774379828204303,-0.08035607464619643,-3.2076255352730954e-05,-0.000342819236121894,0.00042272351024763566,0.0002471005434938611,0.009209060795583035
GSM989835,0.0006478418522566365,-0.01654218853046663,0.00015180154520066935,0.03193009581916195,0.018821373112088313,-0.0001798295859347654,-0.00026611362283412987,0.00020808208700362485,-4.374637621396005e-05,-0.003530345773650634,0.0008019848415736774,7.233549024210362e-05,7.829757102095769e-05,7.816288950346362e-05,0.0004292540474022388,0.03287432119863842,-0.00020943661815753245,-0.0003634967783647802,-0.0006818792495826287,-0.0006446144573741819,-0.017324005151224675
GSM989836,0.00041788879189574857,-0.001976019733923806,9.400285811977938e-07,-0.02178703011432903,0.01170925163154779,8.657924338928424e-05,5.76795902893501e-05,0.00010733708010501886,-0.00010455922069274592,0.0026815770826864593,0.00029892777993056896,-1.2350009558126374e-05,-6.477198242382798e-05,-0.00032045220354604,-0.00028347443651366433,-0.0030778447687032084,-0.0002620175584588935,-0.00018020172065291717,-4.874280427680233e-05,-0.0001493766276867703,-0.0021316642400810437
GSM989837,-0.0007882847386957437,-0.01481996809763153,-0.00015127738675513314,0.06275240652912117,-0.029903521247514053,-0.00029591161709596747,0.0008652426635040733,-0.00041094064759272797,-0.00026055505506539234,-0.003155485555951465,-0.00013940952491386938,1.2616137009313633e-05,0.0002909405666033926,-0.000863398589278308,0.0007746831300345924,0.08363062068543492,-0.0001398125633942371,-0.00021929440181711612,-0.00026992184823759757,-9.228423516294271e-05,-0.014343124629124127
GSM989838,0.0008148221986856719,0.008378448175281772,9.260480600836729e-05,-0.0074234989909598426,0.02276620078776226,0.00019338920783429359,-0.0004789692153019942,0.00015658359140768852,6.46622961593124e-05,-0.00037111568499881287,-0.0006201965903600559,6.333973259353698e-05,-0.00027057282093956303,0.0006113925824537958,-5.811602137661964e-05,-0.0729028173429489,0.00011738396756477698,-5.881460423884377e-05,0.00011907824776047349,-6.576442185046716e-06,0.007480881720240085
GSM989839,-0.000122098045238328,0.01792206369101912,0.00013092430763839147,-0.05495172697650563,0.007573037313508113,0.00015975208412699615,-0.0009069542986082091,0.0003000318659207579,0.00045895706986609497,0.0013180449185616894,0.00022942385955326827,-5.4316914757990276e-05,-0.00011650185448175421,0.0011654692948566137,-0.0006868539643094529,-0.05873429081480319,0.00046940924880356505,0.0006164295659130126,0.000391096153563808,0.00037199433528289916,0.018201096135465722
GSM989840,-0.000574689491151581,0.000881443252917169,-0.00032463173116203947,0.02767171006779634,-0.029887410013049287,5.1905694206322295e-05,0.0013043014477576165,-0.0005981310239948634,-0.000460234983079566,0.0023016268728373035,-0.0014041873536312366,-1.1963544221504918e-05,5.074665324400485e-06,-0.0013160476618110373,0.00031653326200764553,0.01696668460144668,-0.00023658287353223173,-0.0002635084242803565,0.0004024291322153317,0.00037317269362135974,0.0013813880059703187
GSM989841,-0.00010187182296350628,-0.007600956264660397,-0.00020677310527483783,0.01963488862635243,-0.012906990131082097,-3.972089471115936e-06,0.0010028492001779021,-0.000339096848207987,-0.0004327309661076306,0.0022054524635728434,-0.00048773911915356294,-3.0798237640183856e-06,3.892345793410357e-05,-0.0012567806094798684,0.0002208815677531284,0.03477258364640434,-0.0004259285331191798,-0.00041777167832890427,1.9555099367352113e-05,-2.8162455851354906e-05,-0.007427617866613279
GSM989842,0.00040169949241786185,-0.009162820616778422,2.0731552139885423e-05,0.02730561441549284,0.007679091828878715,-6.823727177618366e-05,0.00012420496950360516,-9.359269063313747e-06,-0.00015286127859681642,-0.0016608172381875619,1.5653208192301094e-05,5.439203076829102e-05,5.623986234493117e-06,-0.00023203372471281014,0.0003582133037687285,0.01396728214955445,-0.0001897061412297063,-0.0003269291844820721,-0.0003093759455987666,-0.00031644992280721596,-0.009683798341140193
GSM989843,-0.0007276235820334875,-0.007893243444355047,1.8664515319954944e-06,-0.022667194736197604,-0.013728404298558594,-0.00018567827438120688,7.122309206852862e-05,9.052263607189914e-05,0.0001032829521991907,0.0015408991392709126,0.001421028409528624,-9.974984447191915e-05,0.00029314667335578193,-0.0003135496389332637,-0.00032646849725415095,0.07525328677053311,-0.0001071479889565019,0.00021057884423925088,-0.00019879435638747722,-8.134580970775573e-05,-0.006862623445271332
GSM989844,8.34046091497953e-05,0.006928989276997921,4.42586029163472e-05,0.00019236231665731296,0.003476514487604998,6.0388158948487813e-05,-0.00030575355158379836,3.4649610107795326e-05,0.000127632547161749,-0.001143540196244075,-0.00039946035797422397,2.22174505606354e-05,-9.263282656801763e-05,0.0005206553457979268,2.0301289276769552e-05,-0.03532528679152902,0.0002323498829497339,0.00014532849996706787,0.0001420232248534603,0.00013664146721792392,0.006709392403986492
GSM989845,0.0011639910847534019,0.005357309970652757,-5.0331328269148656e-05,-0.016162136619753298,0.02541134085833896,0.00032175515949406375,0.00019831201364794993,1.058121034791526e-05,-0.000300568827636738,0.0036168852859801426,-0.0009614393986527858,5.6262534059214886e-05,-0.00036154780281139054,-0.0003966634630496735,-0.00018948035985077993,-0.07066666470348215,-0.00033387443368537717,-0.00045954794028713053,0.00020454627197574737,-6.447755703264946e-05,0.00436350672853969
